ID,Sample name,Sample no,Type,Analysis time,Spl volume(ml),Analysis result,Area net,Temperature(C),a,b,r,Bl before,Bl after,Time int,Area gross,Int State ,Analyzer,
34657,RSA_440,,Valid,3/3/2022 12:25:19 PM,1,2228.02417311417,11974.9710109234,0,6872.59765625,2290.0888671875,0.627853989601135,1.63599991798401,2.20499992370605,138,12240,normally,,
34658,RSA_441,,Neglect,3/3/2022 12:31:40 PM,1,2255.43773103094,12037.7504947186,0,6872.59765625,2290.0888671875,0.627853989601135,1.62199997901917,2.21250009536743,142,12310,normally,,
34659,RSA_441,,Unknow,3/3/2022 12:35:21 PM,1,2269.79940885513,12070.6400132179,0,6872.59765625,2290.0888671875,0.627853989601135,1.68799996376038,2.15999984741211,140,12340,normally,,
34660,RSA_441,,Unknow,3/3/2022 12:38:59 PM,1,2254.74703841418,12036.1687472463,0,6872.59765625,2290.0888671875,0.627853989601135,1.68799996376038,2.29500007629395,137.5,12310,normally,,
34661,RSA_441,,Unknow,3/3/2022 12:42:37 PM,1,2259.41388694016,12046.8562451005,0,6872.59765625,2290.0888671875,0.627853989601135,1.63999998569489,2.34750008583069,137,12320,normally,,
34662,RSA_442,,Neglect,3/3/2022 12:46:41 PM,1,2247.39470018196,12019.3312393129,0,6872.59765625,2290.0888671875,0.627853989601135,1.65200006961822,2.28500008583069,137.5,12290,normally,,
34663,RSA_442,,Valid,3/3/2022 12:50:19 PM,1,2244.61778869734,12012.9718652368,0,6872.59765625,2290.0888671875,0.627853989601135,1.66000008583069,2.25250005722046,136.5,12280,normally,,
34664,RSA_442,,Valid,3/3/2022 12:53:54 PM,1,2242.88461312832,12009.0027391613,0,6872.59765625,2290.0888671875,0.627853989601135,1.62600004673004,2.25500011444092,134.5,12270,normally,,
34665,RSA_442,,Valid,3/3/2022 12:57:30 PM,1,2247.3164408758,12019.1520185471,0,6872.59765625,2290.0888671875,0.627853989601135,1.64599990844727,2.18999981880188,136,12280,normally,,
34666,RSA_443,,Neglect,3/3/2022 1:02:10 PM,1,2264.7218743919,12059.0120080709,0,6872.59765625,2290.0888671875,0.627853989601135,1.65400004386902,2.16999983787537,136.5,12320,normally,,
34667,RSA_443,,Unknow,3/3/2022 1:05:51 PM,1,2257.23875150482,12041.8749916554,0,6872.59765625,2290.0888671875,0.627853989601135,1.54000008106232,2.14750003814697,140,12300,normally,,
34668,RSA_443,,Unknow,3/3/2022 1:09:31 PM,1,2266.267990372,12062.5527510643,0,6872.59765625,2290.0888671875,0.627853989601135,1.5460000038147,2.14499998092651,139.5,12320,normally,,
34669,RSA_443,,Unknow,3/3/2022 1:13:09 PM,1,2269.05991600934,12068.9465088844,0,6872.59765625,2290.0888671875,0.627853989601135,1.59599995613098,2.21499991416931,137,12330,normally,,
34670,RSA_444,,Neglect,3/3/2022 1:17:08 PM,1,2237.81112512985,11997.3840007782,0,6872.59765625,2290.0888671875,0.627853989601135,1.68199992179871,2.1800000667572,136,12260,normally,,
34671,RSA_444,,Valid,3/3/2022 1:20:44 PM,1,2223.66210337626,11964.9814835787,0,6872.59765625,2290.0888671875,0.627853989601135,1.67800009250641,2.27750015258789,134,12230,normally,,
34672,RSA_444,,Valid,3/3/2022 1:24:20 PM,1,2221.65148573273,11960.3769904971,0,6872.59765625,2290.0888671875,0.627853989601135,1.57400012016296,2.23000001907349,136.5,12220,normally,,
34673,RSA_444,,Valid,3/3/2022 1:27:59 PM,1,2224.40706567293,11966.6875134408,0,6872.59765625,2290.0888671875,0.627853989601135,1.63999998569489,2.18999981880188,137.5,12230,normally,,
34674,RSA_445,,Neglect,3/3/2022 1:33:04 PM,1,2266.15042245607,12062.2835100889,0,6872.59765625,2290.0888671875,0.627853989601135,1.70399987697601,2.20749998092651,142,12340,normally,,
34675,RSA_445,,Valid,3/3/2022 1:36:41 PM,1,2271.85620102372,12075.3502500653,0,6872.59765625,2290.0888671875,0.627853989601135,1.67599999904633,2.1875,137,12340,normally,,
34676,RSA_445,,Valid,3/3/2022 1:40:20 PM,1,2268.56779108566,12067.8194990754,0,6872.59765625,2290.0888671875,0.627853989601135,1.60599994659424,2.1800000667572,138.5,12330,normally,,
34677,RSA_445,,Valid,3/3/2022 1:43:56 PM,1,2265.68384246714,12061.2150004506,0,6872.59765625,2290.0888671875,0.627853989601135,1.65200006961822,2.32999992370605,135,12330,normally,,
34678,RSA_446,,Neglect,3/3/2022 1:48:01 PM,1,2196.75922561716,11903.3715027273,0,6872.59765625,2290.0888671875,0.627853989601135,1.7059999704361,2.25999999046326,139.5,12180,normally,,
34679,RSA_446,,Unknow,3/3/2022 1:51:37 PM,1,2145.142780075,11785.1652554274,0,6872.59765625,2290.0888671875,0.627853989601135,1.67400002479553,2.23499989509583,135.5,12050,normally,,
34680,RSA_446,,Unknow,3/3/2022 1:55:13 PM,1,2145.73446313307,11786.5202622116,0,6872.59765625,2290.0888671875,0.627853989601135,1.69399988651276,2.1949999332428,135.5,12050,normally,,
34681,RSA_447,,Neglect,3/3/2022 2:02:27 PM,1,2269.2773687403,12069.4444949627,0,6872.59765625,2290.0888671875,0.627853989601135,1.59400010108948,2.15499997138977,139,12330,normally,,
34682,RSA_447,,Valid,3/3/2022 2:06:03 PM,1,2327.28090761254,12202.2777535915,0,6872.59765625,2290.0888671875,0.627853989601135,1.69599986076355,2.28500008583069,134.5,12470,normally,,
34683,RSA_447,,Valid,3/3/2022 2:09:39 PM,1,2330.71494254851,12210.1419987679,0,6872.59765625,2290.0888671875,0.627853989601135,1.7059999704361,2.26250004768372,136,12480,normally,,
34684,RSA_447,,Valid,3/3/2022 2:13:14 PM,1,2327.69345215351,12203.222517252,0,6872.59765625,2290.0888671875,0.627853989601135,1.58999991416931,2.24249982833862,134,12460,normally,,
34685,RSA_448,,Neglect,3/3/2022 2:17:17 PM,1,2206.51245493282,11925.7072646022,0,6872.59765625,2290.0888671875,0.627853989601135,1.65599989891052,2.24499988555908,135.5,12190,normally,,
34686,RSA_448,,Unknow,3/3/2022 2:20:53 PM,1,2147.98585475476,11791.6761491001,0,6872.59765625,2290.0888671875,0.627853989601135,1.71799981594086,2.24249982833862,135.5,12060,normally,,
34687,RSA_448,,Unknow,3/3/2022 2:24:32 PM,1,2145.18295220278,11785.25725317,0,6872.59765625,2290.0888671875,0.627853989601135,1.65799999237061,2.16499996185303,138.5,12050,normally,,
34688,RSA_449,,Neglect,3/3/2022 2:31:51 PM,1,2277.12706478571,12087.4209964871,0,6872.59765625,2290.0888671875,0.627853989601135,1.65200006961822,2.26999998092651,139,12360,normally,,
34689,RSA_449,,Unknow,3/3/2022 2:35:28 PM,1,2349.90371661293,12254.0859966278,0,6872.59765625,2290.0888671875,0.627853989601135,1.64800000190735,2.26250004768372,136,12520,normally,,
34690,RSA_449,,Unknow,3/3/2022 2:39:07 PM,1,2353.24157576876,12261.7299907208,0,6872.59765625,2290.0888671875,0.627853989601135,1.66000008583069,2.20000004768372,139,12530,normally,,
34691,RSA_449,,Unknow,3/3/2022 2:42:45 PM,1,2356.85596074979,12270.0072535276,0,6872.59765625,2290.0888671875,0.627853989601135,1.72399997711182,2.21749997138977,137,12540,normally,,
34692,RSA_450,,Neglect,3/3/2022 2:47:05 PM,1,2197.47311965181,11905.0063835084,0,6872.59765625,2290.0888671875,0.627853989601135,1.65199983119965,2.26250004768372,140.5,12180,normally,,
34693,RSA_450,,Valid,3/3/2022 2:50:42 PM,1,2123.70839926366,11736.0786185563,0,6872.59765625,2290.0888671875,0.627853989601135,1.71599996089935,2.2975001335144,136.5,12010,normally,,
34694,RSA_450,,Valid,3/3/2022 2:54:24 PM,1,2125.96923685289,11741.2561375499,0,6872.59765625,2290.0888671875,0.627853989601135,1.60599994659424,2.19249987602234,141.5,12010,normally,,
34695,RSA_450,,Valid,3/3/2022 2:58:02 PM,1,2127.98088631947,11745.862993598,0,6872.59765625,2290.0888671875,0.627853989601135,1.71200013160706,2.28999996185303,137,12020,normally,,
34696,RSA_451,,Neglect,3/3/2022 3:05:06 PM,1,2372.6326375446,12306.1372454166,0,6872.59765625,2290.0888671875,0.627853989601135,1.62800002098083,2.32500004768372,133.5,12570,normally,,
34697,RSA_451,,Out of d,3/3/2022 3:08:45 PM,1,2490.95676129984,12577.1100039482,0,6872.59765625,2290.0888671875,0.627853989601135,1.55999994277954,2.25,138,12840,normally,,
34698,RSA_451,,Out of d,3/3/2022 3:12:21 PM,1,2499.95024199533,12597.7058739662,0,6872.59765625,2290.0888671875,0.627853989601135,1.6340000629425,2.23749995231628,135.5,12860,normally,,
34699,RSA_451,,Valid,3/3/2022 3:16:04 PM,1,2507.9279371716,12615.9755048752,0,6872.59765625,2290.0888671875,0.627853989601135,1.62199997901917,2.23749995231628,142,12890,normally,,
34700,RSA_451,,Valid,3/3/2022 3:19:44 PM,1,2506.27707267007,12612.194878459,0,6872.59765625,2290.0888671875,0.627853989601135,1.67199993133545,2.16750001907349,139.5,12880,normally,,
34701,RSA_451,,Out of d,3/3/2022 3:23:21 PM,1,2459.86479162513,12505.9066303372,0,6872.59765625,2290.0888671875,0.627853989601135,1.64199995994568,2.22749996185303,136.5,12770,normally,,
34702,RSA_451,,Out of d,3/3/2022 3:26:58 PM,1,2455.22277491415,12495.2759995461,0,6872.59765625,2290.0888671875,0.627853989601135,1.62799990177155,2.26500010490417,136,12760,normally,,
34703,RSA_451,,Valid,3/3/2022 3:30:37 PM,1,2507.33865792243,12614.626003027,0,6872.59765625,2290.0888671875,0.627853989601135,1.6159999370575,2.23000001907349,138,12880,normally,,
34704,RSA_452,,Neglect,3/3/2022 3:35:08 PM,1,2256.76431309155,12040.788485527,0,6872.59765625,2290.0888671875,0.627853989601135,1.6560001373291,2.17000007629395,135.5,12300,normally,,
34705,RSA_452,,Unknow,3/3/2022 3:38:49 PM,1,2146.77235355648,11788.8971235156,0,6872.59765625,2290.0888671875,0.627853989601135,1.54800009727478,2.14249992370605,141.5,12050,normally,,
34706,RSA_452,,Unknow,3/3/2022 3:42:28 PM,1,2139.57869111161,11772.4229972363,0,6872.59765625,2290.0888671875,0.627853989601135,1.57800006866455,2.15499997138977,138,12030,normally,,
34707,RSA_452,,Unknow,3/3/2022 3:46:05 PM,1,2135.9074413156,11764.0155089498,0,6872.59765625,2290.0888671875,0.627853989601135,1.57199990749359,2.16499996185303,137,12020,normally,,
34708,RSA_453,,Neglect,3/3/2022 3:51:27 PM,1,2332.93936769379,12215.236130029,0,6872.59765625,2290.0888671875,0.627853989601135,1.59399998188019,2.37249994277954,133.5,12480,normally,,
34709,RSA_453,,Out of d,3/3/2022 3:55:03 PM,1,2421.07262772224,12417.0691276491,0,6872.59765625,2290.0888671875,0.627853989601135,1.66600000858307,2.36249995231628,135.5,12690,normally,,
34710,RSA_453,,Valid,3/3/2022 3:58:37 PM,1,2430.69807073161,12439.1122475266,0,6872.59765625,2290.0888671875,0.627853989601135,1.74599993228912,2.32750010490417,133,12710,normally,,
34711,RSA_453,,Valid,3/3/2022 4:02:15 PM,1,2426.31363249886,12429.0714943409,0,6872.59765625,2290.0888671875,0.627853989601135,1.67400002479553,2.25250005722046,138,12700,normally,,
34712,RSA_453,,Valid,3/3/2022 4:05:54 PM,1,2428.67883630872,12434.4880212545,0,6872.59765625,2290.0888671875,0.627853989601135,1.6379998922348,2.20999979972839,138,12700,normally,,
34713,RSA_454,,Neglect,3/3/2022 4:10:16 PM,1,2239.92201491245,12002.2181259692,0,6872.59765625,2290.0888671875,0.627853989601135,1.68999993801117,2.26250004768372,135.5,12270,normally,,
34714,RSA_454,,Out of d,3/3/2022 4:13:49 PM,1,2154.13822970355,11805.7656344771,0,6872.59765625,2290.0888671875,0.627853989601135,1.62999987602234,2.20749998092651,132.5,12060,normally,,
34715,RSA_454,,Valid,3/3/2022 4:17:27 PM,1,2146.82382415218,11789.0149957538,0,6872.59765625,2290.0888671875,0.627853989601135,1.63999998569489,2.17000007629395,137,12050,normally,,
34716,RSA_454,,Valid,3/3/2022 4:21:00 PM,1,2149.01336824304,11794.0292463005,0,6872.59765625,2290.0888671875,0.627853989601135,1.58600008487701,2.15499997138977,131.5,12040,normally,,
34717,RSA_454,,Valid,3/3/2022 4:24:33 PM,1,2145.85333887768,11786.7924982309,0,6872.59765625,2290.0888671875,0.627853989601135,1.63199996948242,2.19000005722046,132.5,12040,normally,,
34718,RSA_455,,Neglect,3/3/2022 4:32:20 PM,1,2376.68810353091,12315.4246229231,0,6872.59765625,2290.0888671875,0.627853989601135,1.49400007724762,1.98749995231628,140.5,12560,normally,,
34719,RSA_455,,Out of d,3/3/2022 4:36:01 PM,1,2470.57763216023,12530.4399871826,0,6872.59765625,2290.0888671875,0.627853989601135,1.54800009727478,2.16000008583069,140,12790,normally,,
34720,RSA_455,,Valid,3/3/2022 4:39:39 PM,1,2478.15032375285,12547.7821238935,0,6872.59765625,2290.0888671875,0.627853989601135,1.59799993038178,2.09750008583069,136.5,12800,normally,,
34721,RSA_455,,Valid,3/3/2022 4:43:16 PM,1,2476.32676127367,12543.6060037613,0,6872.59765625,2290.0888671875,0.627853989601135,1.54800009727478,2.22249984741211,136,12800,normally,,
34722,RSA_455,,Valid,3/3/2022 4:46:55 PM,1,2476.86472421652,12544.8379867077,0,6872.59765625,2290.0888671875,0.627853989601135,1.57800006866455,2.12000012397766,138,12800,normally,,
34723,RSA_456,,Neglect,3/3/2022 4:51:04 PM,1,2277.95814395402,12089.3242416382,0,6872.59765625,2290.0888671875,0.627853989601135,1.54200005531311,2.1175000667572,137,12340,normally,,
34724,RSA_456,,Unknow,3/3/2022 4:54:41 PM,1,2192.32991477983,11893.2279872894,0,6872.59765625,2290.0888671875,0.627853989601135,1.58400011062622,2.04500007629395,136,12140,normally,,
34725,RSA_456,,Unknow,3/3/2022 4:58:14 PM,1,2177.73037979586,11859.7937547565,0,6872.59765625,2290.0888671875,0.627853989601135,1.58000004291534,2.18249988555908,133,12110,normally,,
