,X.x,X.y,DOI,EXPOCODE,Accession,Cruise_ID,Date,Year,Month,Day,Time_UTC,Latitude,Longitude,Depth_bottom,Depth,CASTNO_Original,CASTNO_Database_bot,Pressure,Salinity,Temperature,Oxygen,DIC,DIC_FLAG,TA,TA_FLAG,pH,pH_FLAG,pCO2_yearave,pCO2_monthave,bottom_depth,OmegaA,OmegaC,pCO2insitu,pHT,ADT,UGOS,VGOS,SLA,UGOSA,VGOSA,SST,SST_hires,Chl,KD490,outlier
33,39,593,https://doi.org/10.3334/cdiac/otg.clivar_nacp_east_coast_cruise_2007,33RO20120721,,RB1203,2012-08-06,2012,8,6,1:47,35.482,-74.008,3036.0,322.9,1,699,324.0,36.595,18.342,196.62,2116.61,2.0,2387.03,2.0,7.9699,3.0,394.06,392.59,3025,2.95831563764281,4.56154363736874,1857.00022507289,8.06305565587269,0.7992521555534903,0.3215712473180241,0.5623271628782592,0.3055182279158858,-0.3342271957777897,-0.0568397261809193,29.151951282743152,28.694487200874647,0.0650406470766435,0.0293968590267076,False
34,22,593,https://doi.org/10.3334/cdiac/otg.clivar_nacp_east_coast_cruise_2007,33RO20120721,,RB1203,2012-08-06,2012,8,6,1:47,35.482,-74.008,3036.0,520.6,1,699,523.0,36.22,16.187,181.18,2139.55,2.0,2375.63,2.0,7.8992,2.0,394.06,392.59,3025,2.60162964290929,4.03380721827387,5482.79523006993,8.03824647555354,0.7992521555534903,0.3215712473180241,0.5623271628782592,0.3055182279158858,-0.3342271957777897,-0.0568397261809193,29.151951282743152,28.694487200874647,0.0650406470766435,0.0293968590267076,False
35,5415,593,https://doi.org/10.3334/cdiac/otg.clivar_nacp_east_coast_cruise_2007,33RO20120721,,RB1203,2012-08-06,2012,8,6,1:47,35.482,-74.008,3036.0,4.1,1,699,2.0,35.884,28.96,196.46,1998.03,2.0,2353.36,2.0,8.1062,3.0,394.06,392.59,3025,4.04607958159706,6.05307017770768,392.586299294047,8.05558537448297,0.7992521555534903,0.3215712473180241,0.5623271628782592,0.3055182279158858,-0.3342271957777897,-0.0568397261809193,29.151951282743152,28.694487200874647,0.0650406470766435,0.0293968590267076,False
36,12,595,https://doi.org/10.3334/cdiac/otg.clivar_nacp_east_coast_cruise_2007,33RO20120721,,RB1203,2012-08-06,2012,8,6,9:19,35.212,-73.697,3590.0,15.5,1,701,14.0,35.888,28.544,196.07,2002.43,2.0,2352.96,2.0,8.1062,2.0,394.06,392.59,3582,3.98478642589765,5.96963939497938,414.497066327213,8.05453191598777,0.8753964794575515,-0.0036990186307823,0.0800735332693899,0.1706922494836035,-0.2938588657690042,-0.2024353137283262,28.58446051197942,28.59744233944599,0.056994389577622,0.0283321784502761,False
37,14,595,https://doi.org/10.3334/cdiac/otg.clivar_nacp_east_coast_cruise_2007,33RO20120721,,RB1203,2012-08-06,2012,8,6,9:19,35.212,-73.697,3590.0,35.3,1,701,34.0,35.947,28.297,198.46,2005.75,2.0,2356.32,2.0,8.107,2.0,394.06,392.59,3582,3.97804383994005,5.9639241229666,449.677310776064,8.05702915440457,0.8753964794575515,-0.0036990186307823,0.0800735332693899,0.1706922494836035,-0.2938588657690042,-0.2024353137283262,28.58446051197942,28.59744233944599,0.056994389577622,0.0283321784502761,False
38,26,595,https://doi.org/10.3334/cdiac/otg.clivar_nacp_east_coast_cruise_2007,33RO20120721,,RB1203,2012-08-06,2012,8,6,9:19,35.212,-73.697,3590.0,60.5,1,701,59.0,36.327,25.938,194.11,2040.68,2.0,2379.66,2.0,8.0742,2.0,394.06,392.59,3582,3.79715122051952,5.7332283348546,499.40311792749,8.06625056986311,0.8753964794575515,-0.0036990186307823,0.0800735332693899,0.1706922494836035,-0.2938588657690042,-0.2024353137283262,28.58446051197942,28.59744233944599,0.056994389577622,0.0283321784502761,False
39,32,595,https://doi.org/10.3334/cdiac/otg.clivar_nacp_east_coast_cruise_2007,33RO20120721,,RB1203,2012-08-06,2012,8,6,9:19,35.212,-73.697,3590.0,90.2,1,701,89.0,36.533,22.561,218.76,2064.5,2.0,2395.33,2.0,8.0591,2.0,394.06,392.59,3582,3.64025314142976,5.55071306918093,533.380796885067,8.09963493894242,0.8753964794575515,-0.0036990186307823,0.0800735332693899,0.1706922494836035,-0.2938588657690042,-0.2024353137283262,28.58446051197942,28.59744233944599,0.056994389577622,0.0283321784502761,False
40,35,595,https://doi.org/10.3334/cdiac/otg.clivar_nacp_east_coast_cruise_2007,33RO20120721,,RB1203,2012-08-06,2012,8,6,9:19,35.212,-73.697,3590.0,109.9,1,701,109.0,36.577,21.335,220.43,2071.65,2.0,2406.2,2.0,8.049,2.0,394.06,392.59,3582,3.65729587507788,5.59556222128523,555.743394459495,8.12197150099012,0.8753964794575515,-0.0036990186307823,0.0800735332693899,0.1706922494836035,-0.2938588657690042,-0.2024353137283262,28.58446051197942,28.59744233944599,0.056994389577622,0.0283321784502761,False
41,43,595,https://doi.org/10.3334/cdiac/otg.clivar_nacp_east_coast_cruise_2007,33RO20120721,,RB1203,2012-08-06,2012,8,6,9:19,35.212,-73.697,3590.0,149.6,1,701,149.0,36.628,20.062,210.8,2092.12,2.0,2407.17,2.0,8.0196,2.0,394.06,392.59,3582,3.43647649694349,5.27543477575643,701.836159224218,8.10945778825125,0.8753964794575515,-0.0036990186307823,0.0800735332693899,0.1706922494836035,-0.2938588657690042,-0.2024353137283262,28.58446051197942,28.59744233944599,0.056994389577622,0.0283321784502761,False
42,40,595,https://doi.org/10.3334/cdiac/otg.clivar_nacp_east_coast_cruise_2007,33RO20120721,,RB1203,2012-08-06,2012,8,6,9:19,35.212,-73.697,3590.0,248.9,1,701,249.0,36.598,19.175,207.27,2100.9,2.0,2400.98,2.0,8.0037,2.0,394.06,392.59,3582,3.27005622099199,5.03166429250038,1167.13829231637,8.09956767099746,0.8753964794575515,-0.0036990186307823,0.0800735332693899,0.1706922494836035,-0.2938588657690042,-0.2024353137283262,28.58446051197942,28.59744233944599,0.056994389577622,0.0283321784502761,False
