BottleID,Temp,Salinity,DIC_avg,DIC_stdev,TA_avg,TA_stdev,TA_flag,CTD_depth
RSA_074A,7.617435564,32.829,2066.2,1,2221,0.3,,60.873335
RSA_074B,7.866987828,32.731,2060,0.3,2215.1,1.4,,60.873335
RSA_075A,7.408654785,32.837,2070.5,0.1,2225.8,0.8,,69.9643276
RSA_075B,7.678759003,32.708,2062.5,0.1,2214.9,0.8,,69.9643276
RSA_076A,8.047180176,33.518,2104.5,1.1,2253.1,1.7,,88.4802405
RSA_076B,8.107416725,32.329,2032.1,0.9,2201.3,0.5,,88.4802405
RSA_077A,8.107592773,33.497,2100.9,0.8,2254.1,0.3,,91.981505
RSA_077B,8.084526367,32.298,2028.8,1.3,2204.1,0.8,,91.981505
RSA_078A,7.595501709,33.284,2095.6,0.8,2242.4,0.7,,80.6930278
RSA_078B,7.756319635,32.479,2045.5,0.6,2205.9,0.7,,80.6930278
RSA_079A,8.131048584,32.935,2057.2,1,2230.5,4.2,very high drift,61.0904416
RSA_079B,8.097027588,32.917,2058.5,0.9,2231,0.2,very high drift,61.0904416
RSA_080A,7.303088379,32.912,2076.8,1.5,2231.3,1.4,very high drift,78.9254791
RSA_080B,7.832913547,32.468,2041.4,0.4,2212.4,0.8,very high drift,78.9254791
RSA_081A,NA,33.508,2100,0.6,2256.3,0.5,very high drift,NA
RSA_081B,NA,32.701,2055.9,0.9,2218.6,0.1,very high drift,NA
RSA_082A,7.467559814,32.93,2071.4,0.1,2244.2,0.9,very high drift,74.028083
RSA_082B,8.121411133,32.794,2053.4,1.3,2219.6,0.1,very high drift,74.028083
RSA_083A,7.620904541,32.909,2037,0.4,2234.1,1.4,very high drift,66.5681199
RSA_083B,8.179837545,32.903,2035.8,1.3,2224.5,0.2,very high drift,66.5681199
RSA_084A,7.541577148,33.046,2078.7,0.3,2234.2,1.3,very high drift,79.75689
RSA_084B,8.135543213,32.771,2056.7,0.5,2219.2,0.7,very high drift,79.75689
RSA_085A,7.687371826,32.897,2058,0.7,2228.9,0.3,,66.6373473
RSA_085B,8.196938324,32.808,2039.5,1,2226.1,1.4,,66.6373473
RSA_086A,9.023852539,33.886,2024.6,0.8,2278,0.4,,90.1330116
RSA_086B,8.190579834,32.712,1966,0.4,2221.8,0.2,,90.1330116
RSA_087A,9.509503174,34.046,2025.8,0.1,2277.6,0.5,,90.644725
RSA_087B,8.236725871,32.635,1959.9,0.3,2221.8,0.5,,90.644725
RSA_088A,7.621325684,33.009,2012.2,0.2,2237.9,0.8,,73.7972753
RSA_088B,8.086532593,32.866,1966.8,0.3,2234.9,1.2,,73.7972753
RSA_089A,7.81204834,32.812,1996,0.2,2224.6,0.9,,62.6885186
RSA_089B,8.051106771,32.882,1985.6,0.1,2227.5,0.7,,62.6885186
RSA_090A,7.827345784,32.819,1992.6,0.6,2226.6,0.5,,61.421548
RSA_090B,7.868884277,32.811,1991.9,0.8,2223.4,1.7,,61.421548
RSA_091A,7.70199585,32.818,1989.1,1,2228.8,0.8,,67.0768889
RSA_091B,7.828149414,32.785,1985.2,0.8,2226.2,0.7,,67.0768889
RSA_092A,7.537347412,32.807,2002,0.5,2226.4,0,,66.7683353
RSA_092B,7.951639404,32.764,1978.5,0.2,2218.9,0.5,,66.7683353
RSA_093A,7.92980957,33.241,2004.2,1,2246.2,1.5,,85.8077456
RSA_093B,8.133310954,32.896,1963,1.3,2232.7,0.1,,85.8077456
RSA_094A,7.631872557,33.044,1997,0.3,2241.1,2.5,,83.9894994
RSA_094B,8.187442627,32.831,1962.7,0.1,2224,0.4,,83.9894994
RSA_095A,7.593408203,32.9,1998.4,0.1,2234.2,0.6,,73.1029744
RSA_095B,8.086461182,32.845,1974.5,0.8,2230.6,0.5,,73.1029744
RSA_096A,7.593634035,32.879,2051.7,1.1,2234.8,0.2,,67.7989888
RSA_096B,8.077177734,32.779,2011.3,0.5,2221.7,0.1,,67.7989888
RSA_097A,7.62947998,32.855,2040.5,1.1,2220.3,0.1,,65.2082441
RSA_097B,7.732478114,32.748,2039.4,0.3,2233.9,2.2,,65.2082441
RSA_098A,7.439770508,32.886,2064.4,0.4,2219.4,9.9,,66.2045376
RSA_098B,7.406858318,32.878,2062.3,0.1,2217.5,6.4,,66.2045376
RSA_099A,7.288690186,32.815,2060.9,0.9,2219.7,1.5,,58.7512869
RSA_099B,7.305664934,32.796,2060.2,1,2219.6,3.6,,58.7512869
RSA_100A,7.305932617,32.917,2059.7,1.1,2229.2,2.2,,58.4113929
RSA_100B,7.302043062,32.919,2058.8,1,2227.1,4.3,,58.4113929
RSA_101A,7.515983391,32.877,2055.6,0.4,2220.9,0.7,,56.5316083
RSA_101B,7.514111939,32.854,2055.6,0,2224.5,1.1,,56.5316083
RSA_102A,7.602966304,32.925,2056.6,0.4,2226.9,0.6,,73.9178043
RSA_102B,7.429628209,32.86,2058.2,0.9,2222.9,0.9,,73.9178043
RSA_103A,7.689931234,32.942,2051.1,0.7,2230.7,0.1,,77.0744471
RSA_103B,7.945914633,32.855,2028.3,0.5,2224.6,1.3,,77.0744471
RSA_104A,7.714544678,33.145,2077.4,0.2,2243.8,1.6,,81.4848694
RSA_104B,8.276765137,32.853,2029.8,0.7,2223.1,1.3,,81.4848694
RSA_105A,7.422235107,32.798,2050.5,0.6,2215.3,1.3,,58.5296916
RSA_105B,7.598145403,32.722,2043,0.8,2210.5,1.3,,58.5296916
RSA_106A,7.563647461,32.951,2056.7,1.1,2224.9,1,,71.1257611
RSA_106B,8.027908936,32.835,2042,1,2214.2,0.6,,71.1257611
RSA_107A,7.635540771,32.694,2039.6,0.6,2211.8,0.9,,54.8611954
RSA_107B,7.947431641,32.704,2033.5,0.6,2210.1,0,,54.8611954
RSA_108A,7.56315714,32.871,2053.7,1.3,2217.7,0.1,,66.3877926
RSA_108B,7.961608887,32.742,2038.6,1,2212.8,0.1,,66.3877926
RSA_109A,7.783728027,32.946,2047.5,0.5,2214.9,1.2,,67.4741792
RSA_109B,8.622790222,32.92,2030.7,0.4,2218.8,0.6,,67.4741792
RSA_110A,7.687597656,32.907,2052.7,0.2,2217,0.9,,69.6604384
RSA_110B,8.615737479,32.888,2040.6,0.4,2213.6,0.2,,69.6604384
RSA_111A,NA,33.024,2051.2,1,2225.4,1.4,,NA
RSA_111B,NA,32.775,2028.2,0.4,2210.3,0.9,,NA
RSA_112A,7.912475586,32.948,1979.7,1,2216.6,3.1,,70.4049968
RSA_112B,8.874117432,32.864,2038.9,0.3,2211.7,0.4,,70.4049968
RSA_113A,8.28354187,32.815,2041.5,0.8,2202.5,0.4,,60.0742418
RSA_113B,8.862426758,32.792,2038.6,1.4,2198.1,1,,60.0742418
RSA_114A,NA,32.72,2035.4,0.3,2201.4,0.3,,NA
RSA_114B,NA,32.698,2027.4,0.5,2208.3,0.4,,NA
