Station,Cast,CTD_depth,Temp,Press,SeaPress,Salinity_Corr
105,Bottom,58.53578568,7.422235107,69.01212438,58.87962468,32.7982
105,Surface,2.5,7.598145403,12.65463693,2.522137233,32.72177826
106,Bottom,71.13536072,7.563647461,81.7999897,71.66749001,32.9513
106,Surface,2.5,8.027908936,12.66362343,2.531123734,32.83469856
107,Bottom,54.86641312,7.635540771,64.96615819,54.83365849,32.69393102
107,Surface,2.5,7.947431641,12.61015205,2.477652359,32.70432178
108,Bottom,66.39598083,7.56315714,76.97153425,66.83903456,32.87103878
108,Surface,2.5,7.961608887,12.65902138,2.526521683,32.74197116
109,Bottom,67.48268127,7.783728027,77.87798309,67.7454834,32.9457
109,Surface,2.5,8.622790222,12.69613304,2.563633347,32.92039543
110,Bottom,69.66958618,7.687597656,79.95957947,69.82707977,32.9072353
110,Surface,2.5,8.615737479,12.75184522,2.619345529,32.88765046
111,Bottom,NA,NA,NA,NA,33.0237
111,Surface,2.5,NA,NA,NA,32.775
112,Bottom,70.41437531,7.912475586,80.79898834,70.66648865,32.94826728
112,Surface,2.5,8.874117432,12.71688728,2.584387589,32.8636639
113,Bottom,60.08072281,8.28354187,70.17830319,60.04580349,32.81509831
113,Surface,2.5,8.862426758,12.7107502,2.578250504,32.79174702
114,Bottom,NA,NA,NA,NA,32.7195
114,Surface,2.5,NA,NA,NA,32.6981
