Station,Cast,CTD_depth,Temp,Press,SeaPress,Salinity_Corr,O2,O2Sat
62,Surface,2.5,17.57703039,12.62263565,2.490135649,32.48873928,276.3576892,112.798293
63,Bottom,82.96016831,12.24579002,93.15782087,83.02532087,32.9005,249.8193876,91.824596
63,Surface,2.5,17.32107618,12.61284161,2.480341609,32.48834996,275.7680321,112.003023
64,Bottom,87.47210204,13.59712192,98.16013424,88.02763424,33.9132,232.9744446,88.74881051
64,Surface,2.5,17.36109574,12.58513061,2.452630605,32.48852294,275.9097547,112.1473202
65,Bottom,71.77032242,12.36468926,81.9859961,71.8534961,32.83104204,253.2228104,93.2662017
65,Surface,2.5,16.88922052,12.58985644,2.457356441,32.49580663,278.7701405,112.282861
66,Bottom,65.5147222,13.29435059,75.87475214,65.74225214,32.73136852,252.8374123,94.88787591
66,Surface,2.5,17.20815377,12.6654974,2.532997401,32.53506006,281.2984553,114.0333771
67,Bottom,53.56448916,14.90192007,63.81003047,53.67753047,32.63680895,260.0464486,100.7885769
67,Surface,2.5,17.1403721,12.6379215,2.5054215,32.5585635,285.1174925,115.4455014
68,Bottom,64.33934601,13.12341028,74.79658711,64.66408711,32.73935021,253.4912534,94.80162189
68,Surface,2.5,17.24999478,12.62568651,2.493186507,32.52332319,282.3424558,114.5401667
69,Bottom,71.31871226,12.50233576,81.90180637,71.76930637,32.82075685,254.0372123,93.83091121
69,Surface,2.5,16.57307869,13.66028521,3.527785207,32.56831493,276.4605473,110.7168617
70,Bottom,58.70328584,12.90737509,69.00262663,58.87012663,32.77913952,252.3749101,93.98474541
70,Surface,2.5,16.98163486,12.59993826,2.467438259,32.55875824,279.6966362,112.9023002
71,Bottom,69.86636656,12.47421147,80.11776743,69.98526743,33.22807502,248.9229886,92.12533214
71,Surface,2.5,17.2630918,12.64334076,2.510840765,32.47950354,275.3470241,111.7006068
72,Bottom,78.87088816,16.16240672,89.11715852,78.98465852,35.39281217,218.8175086,88.45511023
72,Surface,2.5,17.53309414,12.62754795,2.495047954,32.52043136,275.7206992,112.4648709
73,Bottom,64.99222021,12.65477722,75.07431446,64.94181446,32.89135638,260.0867675,96.41572598
73,Surface,2.5,17.48297633,12.60865224,2.476152236,32.54283561,275.1088757,112.1223352
74,Bottom,53.25393006,13.87159877,63.72364815,53.59114815,32.7078439,258.0738887,97.9965589
74,Surface,2.5,17.07523842,12.65971098,2.527210981,32.57473402,288.47171,116.6677447
75,Bottom,60.5898235,13.20178431,71.14527652,61.01277652,32.77300515,255.4159739,95.69713075
75,Surface,2.5,17.55884155,12.66258097,2.530080971,32.55471955,272.7050619,111.3132573
76,Bottom,79.38737685,15.68407769,90.01749918,79.88499918,35.487,212.8146451,85.26503096
76,Surface,2.5,17.3753717,12.69417899,2.561678995,32.51354919,278.7333652,113.3436583
77,Bottom,84.67502753,15.25679185,95.22381755,85.09131755,35.174,218.4990062,86.65105124
