
#################################################################
# Summary Statistics
#################################################################

DIC = 740.8531

                   Mean    SD  2.5%    5%   25%   50%   75%   95% 97.5%
p.Station82.EM2  0.089 0.032 0.030 0.040 0.068 0.088 0.108 0.145 0.158
p.Station83.EM2  0.042 0.024 0.007 0.010 0.025 0.039 0.056 0.087 0.097
p.Station84.EM2  0.082 0.032 0.024 0.033 0.061 0.080 0.100 0.137 0.152
p.Station85.EM2  0.093 0.033 0.033 0.042 0.071 0.091 0.113 0.151 0.166
p.Station86.EM2  0.255 0.044 0.179 0.191 0.226 0.250 0.279 0.337 0.354
p.Station87.EM2  0.208 0.038 0.140 0.151 0.182 0.206 0.231 0.274 0.289
p.Station88.EM2  0.130 0.034 0.067 0.077 0.107 0.128 0.151 0.188 0.202
p.Station89.EM2  0.048 0.026 0.009 0.012 0.029 0.044 0.062 0.098 0.112
p.Station90.EM2  0.024 0.016 0.004 0.005 0.012 0.020 0.032 0.053 0.062
p.Station91.EM2  0.014 0.011 0.002 0.003 0.007 0.012 0.019 0.036 0.044
p.Station92.EM2  0.054 0.028 0.011 0.015 0.034 0.050 0.070 0.104 0.118
p.Station93.EM2  0.385 0.045 0.299 0.313 0.356 0.384 0.414 0.459 0.475
p.Station94.EM2  0.215 0.039 0.146 0.157 0.189 0.212 0.238 0.286 0.302
p.Station95.EM2  0.067 0.029 0.016 0.023 0.047 0.065 0.085 0.118 0.132
p.Station96.EM2  0.077 0.031 0.022 0.030 0.056 0.075 0.095 0.131 0.144
p.Station97.EM2  0.022 0.015 0.004 0.005 0.011 0.019 0.030 0.051 0.058
p.Station98.EM2  0.069 0.030 0.017 0.024 0.048 0.067 0.088 0.124 0.137
p.Station99.EM2  0.116 0.034 0.053 0.064 0.094 0.114 0.136 0.174 0.190
p.Station100.EM2 0.052 0.029 0.008 0.011 0.029 0.048 0.070 0.105 0.119
p.Station101.EM2 0.145 0.036 0.081 0.092 0.121 0.142 0.165 0.208 0.224
p.Station102.EM2 0.181 0.037 0.115 0.125 0.156 0.179 0.203 0.246 0.263
p.Station103.EM2 0.369 0.044 0.282 0.296 0.339 0.368 0.397 0.443 0.457
p.Station105.EM2 0.676 0.053 0.570 0.590 0.643 0.676 0.708 0.762 0.783
p.Station106.EM2 0.708 0.054 0.597 0.616 0.673 0.709 0.744 0.795 0.813
p.Station107.EM2 0.275 0.036 0.204 0.215 0.250 0.274 0.298 0.334 0.347
p.Station108.EM2 0.456 0.048 0.366 0.382 0.424 0.453 0.485 0.538 0.556
p.Station109.EM2 0.534 0.051 0.440 0.455 0.499 0.532 0.565 0.620 0.638
p.Station110.EM2 0.378 0.036 0.312 0.323 0.354 0.375 0.400 0.441 0.455
p.Station111.EM2 0.646 0.054 0.540 0.557 0.612 0.647 0.681 0.732 0.750
p.Station112.EM2 0.443 0.052 0.352 0.366 0.406 0.438 0.476 0.535 0.555
p.Station113.EM2 0.783 0.066 0.657 0.677 0.737 0.781 0.828 0.894 0.912
p.Station114.EM2 0.473 0.059 0.368 0.384 0.433 0.469 0.507 0.577 0.606
p.Station9.EM3   0.344 0.061 0.233 0.248 0.299 0.342 0.387 0.444 0.460
p.Station10.EM3  0.676 0.087 0.497 0.529 0.621 0.682 0.738 0.809 0.831
p.Station11.EM3  0.459 0.120 0.215 0.261 0.382 0.459 0.535 0.654 0.696
p.Station12.EM3  0.833 0.072 0.671 0.704 0.790 0.842 0.886 0.935 0.948
p.Station13.EM3  0.189 0.100 0.035 0.048 0.115 0.179 0.250 0.367 0.419
p.Station14.EM3  0.596 0.109 0.381 0.418 0.527 0.595 0.669 0.776 0.806
p.Station15.EM3  0.655 0.101 0.453 0.489 0.590 0.657 0.725 0.816 0.845
p.Station16.EM3  0.480 0.118 0.240 0.285 0.406 0.480 0.555 0.675 0.717
p.Station17.EM3  0.779 0.082 0.606 0.636 0.725 0.785 0.838 0.904 0.921
p.Station18.EM3  0.606 0.107 0.397 0.431 0.537 0.606 0.677 0.779 0.809
p.Station19.EM3  0.186 0.099 0.034 0.046 0.114 0.175 0.246 0.365 0.416
p.Station20.EM3  0.218 0.109 0.038 0.056 0.139 0.211 0.286 0.406 0.450
p.Station21.EM3  0.570 0.106 0.357 0.396 0.500 0.569 0.643 0.743 0.775
p.Station24.EM3  0.750 0.085 0.569 0.601 0.694 0.756 0.811 0.880 0.899
p.Station25.EM3  0.235 0.109 0.050 0.070 0.157 0.229 0.301 0.426 0.475
p.Station26.EM3  0.431 0.089 0.259 0.289 0.373 0.430 0.488 0.580 0.614
p.Station27.EM3  0.634 0.100 0.435 0.469 0.569 0.634 0.703 0.795 0.822
p.Station28.EM3  0.265 0.114 0.056 0.082 0.184 0.260 0.337 0.460 0.503
p.Station29.EM3  0.537 0.113 0.318 0.354 0.465 0.537 0.611 0.723 0.762
p.Station30.EM3  0.914 0.043 0.809 0.833 0.892 0.922 0.945 0.970 0.976
p.Station31.EM3  0.616 0.103 0.414 0.447 0.548 0.617 0.687 0.785 0.813
p.Station32.EM3  0.239 0.110 0.049 0.068 0.161 0.233 0.308 0.430 0.471
p.Station33.EM3  0.094 0.076 0.014 0.019 0.043 0.072 0.118 0.251 0.315
p.Station34.EM3  0.070 0.048 0.012 0.016 0.037 0.060 0.092 0.159 0.188
p.Station35.EM3  0.167 0.075 0.037 0.050 0.112 0.164 0.218 0.294 0.322
p.Station36.EM3  0.423 0.140 0.145 0.189 0.330 0.422 0.515 0.656 0.705
p.Station37.EM3  0.108 0.072 0.013 0.019 0.053 0.094 0.149 0.248 0.280
p.Station38.EM3  0.250 0.140 0.031 0.048 0.143 0.234 0.343 0.497 0.552
p.Station39.EM3  0.135 0.087 0.017 0.025 0.069 0.119 0.183 0.294 0.337
p.Station40.EM3  0.267 0.135 0.041 0.063 0.168 0.258 0.354 0.504 0.559
p.Station41.EM3  0.236 0.113 0.046 0.066 0.151 0.227 0.309 0.444 0.483
p.Station42.EM3  0.181 0.084 0.037 0.051 0.115 0.177 0.243 0.324 0.345
p.Station43.EM3  0.055 0.033 0.010 0.013 0.030 0.048 0.072 0.118 0.136
p.Station44.EM3  0.259 0.157 0.029 0.044 0.133 0.235 0.368 0.544 0.605
p.Station45.EM3  0.218 0.186 0.011 0.016 0.060 0.158 0.355 0.570 0.630
p.Station46.EM3  0.456 0.120 0.216 0.261 0.380 0.455 0.532 0.654 0.700
p.Station47.EM3  0.270 0.118 0.060 0.085 0.186 0.264 0.344 0.477 0.521
p.Station48.EM3  0.366 0.091 0.184 0.218 0.308 0.365 0.424 0.517 0.547
p.Station49.EM3  0.044 0.031 0.007 0.009 0.022 0.037 0.059 0.103 0.121
p.Station50.EM3  0.148 0.089 0.020 0.029 0.079 0.135 0.202 0.310 0.351
p.Station51.EM3  0.087 0.066 0.010 0.014 0.038 0.069 0.118 0.214 0.252
p.Station52.EM3  0.174 0.094 0.028 0.042 0.103 0.164 0.232 0.345 0.383
p.Station53.EM3  0.173 0.076 0.040 0.054 0.118 0.169 0.223 0.304 0.333
p.Station54.EM3  0.194 0.100 0.033 0.048 0.121 0.186 0.256 0.369 0.411
p.Station55.EM3  0.141 0.083 0.024 0.032 0.080 0.128 0.189 0.292 0.332
p.Station56.EM3  0.236 0.112 0.046 0.068 0.155 0.227 0.303 0.434 0.487
p.Station57.EM3  0.132 0.078 0.021 0.028 0.073 0.119 0.178 0.276 0.315
p.Station58.EM3  0.340 0.123 0.095 0.135 0.259 0.339 0.420 0.545 0.591
p.Station59.EM3  0.396 0.135 0.119 0.170 0.308 0.395 0.481 0.623 0.675
p.Station60.EM3  0.321 0.087 0.142 0.174 0.265 0.322 0.376 0.461 0.492
p.Station61.EM3  0.127 0.076 0.020 0.028 0.069 0.116 0.171 0.267 0.304
p.Station62.EM3  0.190 0.099 0.030 0.045 0.116 0.182 0.253 0.362 0.402
p.Station63.EM3  0.302 0.120 0.072 0.106 0.221 0.301 0.379 0.501 0.553
p.Station64.EM3  0.283 0.118 0.064 0.093 0.202 0.280 0.360 0.480 0.525
p.Station65.EM3  0.574 0.132 0.306 0.353 0.489 0.576 0.665 0.788 0.825
p.Station66.EM3  0.417 0.125 0.157 0.208 0.339 0.420 0.495 0.622 0.669
p.Station67.EM3  0.483 0.122 0.241 0.288 0.406 0.482 0.561 0.688 0.728
p.Station68.EM3  0.379 0.124 0.122 0.167 0.303 0.381 0.457 0.583 0.628
p.Station69.EM3  0.799 0.089 0.599 0.640 0.746 0.810 0.864 0.924 0.941
p.Station70.EM3  0.573 0.117 0.335 0.379 0.499 0.572 0.650 0.765 0.799
p.Station71.EM3  0.323 0.124 0.083 0.121 0.240 0.321 0.402 0.529 0.578
p.Station72.EM3  0.238 0.110 0.043 0.064 0.159 0.234 0.308 0.421 0.468
p.Station73.EM3  0.281 0.117 0.064 0.090 0.202 0.281 0.357 0.474 0.526
p.Station74.EM3  0.536 0.117 0.301 0.348 0.463 0.535 0.611 0.732 0.771
p.Station75.EM3  0.253 0.086 0.083 0.110 0.196 0.254 0.310 0.390 0.417
p.Station76.EM3  0.303 0.121 0.070 0.103 0.222 0.301 0.380 0.503 0.555
p.Station77.EM3  0.312 0.121 0.083 0.113 0.228 0.309 0.391 0.517 0.561
p.Station78.EM3  0.374 0.124 0.123 0.163 0.294 0.373 0.456 0.581 0.620
p.Station79.EM3  0.697 0.100 0.495 0.528 0.631 0.699 0.766 0.856 0.881
p.Station80.EM3  0.259 0.115 0.057 0.078 0.173 0.253 0.335 0.461 0.498
p.Station81.EM3  0.087 0.047 0.016 0.022 0.051 0.081 0.116 0.172 0.191
p.Station82.EM3  0.239 0.110 0.048 0.068 0.161 0.234 0.309 0.427 0.471
p.Station83.EM3  0.654 0.108 0.436 0.474 0.585 0.656 0.728 0.827 0.859
p.Station84.EM3  0.220 0.106 0.039 0.057 0.142 0.216 0.287 0.400 0.443
p.Station85.EM3  0.398 0.123 0.149 0.193 0.319 0.397 0.475 0.603 0.648
p.Station86.EM3  0.175 0.099 0.033 0.045 0.101 0.160 0.229 0.365 0.417
p.Station87.EM3  0.290 0.119 0.068 0.093 0.207 0.288 0.368 0.492 0.536
p.Station88.EM3  0.459 0.117 0.218 0.268 0.387 0.460 0.535 0.650 0.684
p.Station89.EM3  0.474 0.123 0.225 0.268 0.396 0.475 0.555 0.676 0.720
p.Station90.EM3  0.844 0.077 0.666 0.701 0.799 0.857 0.901 0.948 0.959
p.Station91.EM3  0.913 0.058 0.761 0.797 0.888 0.928 0.954 0.979 0.984
p.Station92.EM3  0.409 0.127 0.147 0.202 0.331 0.409 0.487 0.620 0.666
p.Station93.EM3  0.222 0.106 0.044 0.061 0.141 0.213 0.294 0.414 0.446
p.Station94.EM3  0.259 0.117 0.054 0.077 0.175 0.253 0.334 0.466 0.516
p.Station95.EM3  0.273 0.117 0.059 0.086 0.193 0.269 0.349 0.469 0.515
p.Station96.EM3  0.315 0.120 0.082 0.117 0.237 0.314 0.392 0.517 0.561
p.Station97.EM3  0.843 0.080 0.654 0.691 0.797 0.856 0.903 0.949 0.960
p.Station98.EM3  0.511 0.118 0.275 0.321 0.435 0.511 0.586 0.709 0.749
p.Station99.EM3  0.304 0.119 0.074 0.109 0.224 0.301 0.377 0.506 0.561
p.Station100.EM3 0.885 0.042 0.788 0.808 0.860 0.890 0.915 0.944 0.954
p.Station101.EM3 0.271 0.116 0.063 0.086 0.190 0.267 0.345 0.473 0.519
p.Station102.EM3 0.283 0.119 0.065 0.093 0.201 0.280 0.357 0.484 0.537
