Station,Cast,BottleID,Date,Latitude_degrees_start,Longitude_degrees_start,Latitude_degrees_end,Longitude_degrees_end,Depth_fathoms,Depth_meters,Time_CTD_on,Time_in,Time_bottom,Time_ascent,Time_out,Salinity_bottle,Preservation,Pres_vol_ug,Bottle_CTD_notes,Tow_start_time,Tow_end_time,Tow_latitude_start,Tow_longitude_start,Tow_latitude_end,Tow_longitude_end,Tow_abundance,Scallop_samples,Tow_notes,Depth_m_CTD,Temperature,Temp_FLAG,Pressure,Press_FLAG,SeaPressure,SeaPress_FLAG,Salinity,Salinity_FLAG,DIC,DIC_FLAG,TA,TA_FLAG,Dissolved_oxygen
29,Surface,RSA_029B,20210503,42°06.32',67°23.90',42°06.54',67°23.87',43.2,79,NA,6:34,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,6.973556083,2,12.6127976,2,2.480297906,2,32.2949,2,2048.7,2,2200.6,,305.8541571
30,Bottom,RSA_030A,20210503,42°06.02',67°11.74',42°06.07',67°11.67',29.9,54.7,NA,7:40,7:41,7:44,7:44,NA,Benzalkonium and mercuric,250,CTD off,7:47,8:02,42°05.96,67°11.69,42°04.79,67°11.88,1498,52,,54.7,NA,-999,NA,-999,NA,-999,32.8184,-999,2064.6,2,2208,,
30,Surface,RSA_030B,20210503,42°06.02',67°11.74',42°06.07',67°11.67',29.9,54.7,NA,7:40,NA,NA,NA,NA,Benzalkonium and mercuric,250,,7:47,8:02,42°05.96,67°11.69,42°04.79,67°11.88,1498,52,,2.5,NA,-999,NA,-999,NA,-999,32.462,-999,2046.7,2,2200.5,,
31,Bottom,RSA_031A,20210503,42°01.69',67°11.98',42°01.67',67°11.93',28.7,52.5,8:35,8:35,8:36,8:38,8:39,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,53.74686,7.304144287,2,63.67005192,2,53.53755223,2,32.8071,2,2065.6,2,2212.7,,299.4034672
31,Surface,RSA_031B,20210503,42°01.69',67°11.98',42°01.67',67°11.93',28.7,52.5,NA,8:35,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.227362932,2,12.57424014,2,2.441740445,2,32.7461,2,2062.4,2,2212.1,,300.1402364
32,Bottom,RSA_032A,20210503,41°53.24',67°23.87',41°53.18',67°23.72',30.3,55.4,10:04,10:05,10:07,10:10,10:11,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,57.08439,7.66953125,2,66.80551338,2,56.67301369,2,32.93,2,2071,2,2216.7,,299.6767817
32,Surface,RSA_032B,20210503,41°53.24',67°23.87',41°53.18',67°23.72',30.3,55.4,NA,10:05,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.660412598,2,12.65017929,2,2.517679596,2,32.9186,2,2071.8,2,2217.3,,300.4684391
33,Bottom,RSA_033A,20210503,41°29.79',67°42.03',41°41.22',67°17.17',22.8,41.7,13:45,13:46,13:47,13:50,13:50,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,43.44986,7.888549805,2,53.54439354,2,43.41189384,2,32.9539,2,2069.7,2,2221.3,,303.2244773
33,Surface,RSA_033B,20210503,41°29.79',67°42.03',41°41.22',67°17.17',22.8,41.7,NA,13:46,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.934476725,2,12.56000551,2,2.427505811,2,32.9771,2,2070.8,2,2220,,302.8683704
34,Bottom,RSA_034A,20210503,41°35.76',67°30.71',41°35.65',67°30.72',17.8,32.6,12:42,12:42,12:43,12:45,12:46,L7,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,35.26567,7.955181885,2,44.84445899,2,34.71195929,2,32.9114,2,2065.1,2,2215.4,,300.6849418
