Station,Cast,BottleID,Date,Latitude_degrees_start,Longitude_degrees_start,Latitude_degrees_end,Longitude_degrees_end,Depth_fathoms,Depth_meters,Time_CTD_on,Time_in,Time_bottom,Time_ascent,Time_out,Salinity_bottle,Preservation,Pres_vol_ug,Bottle_CTD_notes,Tow_start_time,Tow_end_time,Tow_latitude_start,Tow_longitude_start,Tow_latitude_end,Tow_longitude_end,Tow_abundance,Scallop_samples,Tow_notes,Depth_m_CTD,Temp,Temp_FLAG,Pressure,Press_FLAG,SeaPressure,SeaPress_FLAG,Salinity,Salinity_FLAG,DIC,DIC_FLAG,TA,TA_FLAG,Dissolved_oxygen
52,Bottom,RSA_052A,20210504,40°59.85',66°59.75',40°59.87',66°59.67',38.3,70,10:17,10:17,10:19,10:21,10:22,NA,Benzalkonium and mercuric,250,Rain,NA,NA,NA,NA,NA,NA,NA,NA,,72.02369,6.7480896,2,81.95462799,2,71.8221283,2,32.8106,2,2096.7,2,2223.7,NA,289.3755192
53,Bottom,RSA_053A,20210504,40°47.50',67°00.10',40°47.44',67°00.10',53.8,98.4,12:07,12:07,12:08,12:12,12:13,NA,Benzalkonium and mercuric,250,Rain,NA,NA,NA,NA,NA,NA,NA,NA,,100.1508,9.112054443,2,109.4612325,2,99.32873281,2,34.006,2,2114.1,2,2276.9,NA,248.5443274
54,Bottom,RSA_054A,20210504,40°54.20',67°06.00',40°54.22',67°06.61',46,84.1,13:15,13:15,13:17,13:19,13:20,NA,Benzalkonium and mercuric,250,Rain,13:29,13:44,40°55.02,67°07.42,40°56.06,67°08.35,2312,51,,85.59264,7.151025391,2,95.14910671,2,85.01660701,2,33.1092,2,2108.7,2,2237,NA,273.6890976
55,Bottom,RSA_055A,20210504,41°06.13',67°05.33',41°06.06',67°05.23',35.4,64.7,9:18,9:19,9:21,9:25,9:27,NA,Benzalkonium and mercuric,250,Rain,NA,NA,NA,NA,NA,NA,NA,NA,,66.78201,6.844537354,2,76.71004486,2,66.57754517,2,32.635,2,2076,2,2217.3,NA,302.9061875
56,Bottom,RSA_056A,20210504,41°12.24',67°12.50',41°12.36',67°12.57',31.8,58.2,8:14,8:14,8:15,8:18,8:20,NA,Benzalkonium and mercuric,250,,7:53,8:08,41°12.09,67°10.43,41°12.05,67°12.27,6,6,Mainly sand dollars,59.67392,7.557580566,2,69.14114634,2,59.00864665,2,32.7706,2,2055.9,2,2224,NA,313.1977471
57,Bottom,RSA_057A,20210504,41°00.25',67°12.42',41°00.25',67°12.52',39.9,73,14:25,14:26,14:27,14:33,14:34,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,74.61543,6.871026611,2,79.86160431,2,69.72910461,2,32.5942,2,2055.2,2,2216.5,NA,306.6981942
58,Bottom,RSA_058A,20210504,40°47.05',67°12.16',40°47.40',67°12.05',51.4,94,23:02,23:02,23:03,23:05,23:06,L19,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,95.52681,7.488242013,2,105.4305364,2,95.29803668,2,33.315,2,2117.9,2,2243.3,999,265.2321
59,Bottom,RSA_059A,20210504,40°42.04',67°17.56',40°42.04',67°17.52',52,95.1,23:53,23:53,23:54,23:55,23:56,L14,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,97.01632,10.08000488,2,106.5098457,2,96.37734604,2,34.3967,2,2137.4,2,2291.8,999,236.4022369
60,Bottom,RSA_060A,20210504,40°53.68',67°17.78',NA,NA,45.5,83.2,20:09,20:09,20:11,20:13,20:14,NA,Mercuric,100,,19:26,19:44,40°55.73,67°19.86,40°54.39,67°19.89,6475,50,Bags labelled 62,85.08312,7.544818115,2,94.87190247,2,84.73940277,2,33.3239,2,2114.5,2,2241.4,999,267.5179
61,Bottom,RSA_061A,20210504,41°05.89',67°17.58',41°05.91',67°17.65',33.1,60.5,15:21,15:21,15:22,15:24,15:25,NA,Mercuric,100,,15:30,15:45,41°05.91,67°17.92,41°05.80,67°19.95,0,0,All sand dollars,62.02333,7.464276123,2,71.78342247,2,61.65092278,2,32.7281,2,2057.7,2,2217.2,999,309.9009423
62,Bottom,RSA_062A,20210504,41°00.10',67°23.92',40°59.78',67°23.32',38.2,69.9,18:44,18:45,18:45,18:47,18:48,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,71.08583,6.939520264,2,80.84662628,2,70.71412659,2,32.5762,2,2064.2,2,2210.5,999,308.2521771
63,Bottom,RSA_063A,20210504,40°47.82',67°24.31',40°47.78',67°24.25',48,87.8,22:02,22:02,22:03,22:05,22:06,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,89.6314,8.835894775,2,99.38874817,2,89.25624847,2,33.8767,2,2119.4,2,2273.1,NA,251.2976703
64,Bottom,RSA_064A,20210505,40°42.08',67°29.87',40°42.06',67°29.87',47.9,87.6,1:01,1:01,1:02,1:04,1:05,L15,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,89.97548,9.674731445,2,99.91883087,2,89.78633118,2,34.2395,2,2130.3,2,2286.4,NA,238.6605065
65,Bottom,RSA_065A,20210504,40°53.06',67°30.01',40°53.08',67°30.02',41.6,76.1,21:17,21:17,21:18,21:19,21:20,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,72.56203,7.243678029,2,82.10168669,2,71.969187,2,33.1168,2,2103.4,2,2238,NA,275.5266066
66,Bottom,RSA_066A,20210504,41°00.07',67°30.12',41°00.08',67°30.11',35.9,65.7,17:57,17:57,17:58,17:59,18:01,NA,Mercuric,100,Light rain,18:04,18:19,41°00.09,67°29.67,41°00.09,67°28.30,59,50,"mainly sand dollars, bags labelled 61",67.31399,6.999053955,2,76.94893265,2,66.81643295,2,32.6235,2,2070.4,2,2218.3,NA,304.448797
67,Bottom,RSA_067A,20210504,41°06.06',67°29.65',41°06.10',67°29.74',31,56.7,16:34,16:34,16:35,16:36,16:37,NA,Mercuric,100,Light rain,NA,NA,NA,NA,NA,NA,NA,NA,,57.4551,7.580358887,2,66.99744034,2,56.86494064,2,32.7577,2,2058.5,2,2222.5,NA,308.5666173
68,Bottom,RSA_068A,20210504,41°00.07',67°35.65',41°00.10',67°38.70',35,64,17:25,17:26,17:26,17:28,17:29,NA,Mercuric,100,Light rain,NA,NA,NA,NA,NA,NA,NA,NA,,65.58011,7.229382324,2,75.03056335,2,64.89806366,2,32.6992,2,2069.7,2,2222,NA,302.6880493
69,Bottom,RSA_069A,20210505,40°47.44',67°35.50',40°47.42',67°35.51',41.6,76.1,1:55,1:55,1:56,1:57,1:59,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,78.78655,7.536846924,2,88.33954511,2,78.20704542,2,33.2586,2,2102,2,2240.5,NA,270.299802
70,Bottom,RSA_070A,20210505,40°47.51',67°42.15',40°47.31',67°42.18',37.7,68.9,2:32,2:32,2:35,2:35,2:36,NA,Mercuric,100,,2:32,2:51,40°47.51,67°42.15,40°47.28,67°42.18,325,50,,70.96207,6.800915527,2,80.22525787,2,70.09275818,2,32.8421,2,2080.2,2,2225.7,NA,287.705616
71,Bottom,RSA_071A,20210505,40°41.94',67°42.07',40°41.90',67°42.06',41.6,76.1,3:21,3:21,3:23,3:25,3:26,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,77.59865,6.905743408,2,87.19873619,2,77.0662365,2,32.917,2,2083.8,NA,2228.2,NA,283.72622
72,Bottom,RSA_072A,20210505,40°35.97',67°47.50',40°35.93',67°47.52',46.6,85.2,4:49,4:50,4:51,4:52,4:54,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,87.0952,7.586621094,2,96.96437073,2,86.83187103,2,33.2824,2,2096.3,NA,2253.7,NA,270.5083243
73,Bottom,RSA_073A,20210505,40°47.67',67°47.74',40°47.71',67°47.79',36.8,67.3,8:17,8:17,8:18,8:21,8:22,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,68.78495,6.857308683,2,78.1908741,2,68.0583744,2,32.7145,2,2070.9,NA,2218.8,NA,295.9814155
74,Bottom,RSA_074A,20210505,40°53.71',67°54.20',40°53.77',67°54.29',32.6,59.6,9:08,9:08,9:09,9:12,9:13,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,61.3717,7.617435564,2,70.9599415,2,60.82744181,2,32.8289,2,2066.2,NA,2221,NA,299.1906428
75,Bottom,RSA_075A,20210505,40°47.46',68°00.01',40°47.28',68°00.02',37.5,68.6,11:07,11:07,11:08,11:11,11:12,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,70.57275,7.408654785,2,79.92644691,2,69.79394722,2,32.8373,2,2070.5,NA,2225.8,NA,297.6388258
76,Bottom,RSA_076A,20210505,40°35.90',67°54.03',40°35.87',67°54.05',47.9,87.6,5:26,5:26,5:28,5:30,5:31,L16,Benzalkonium and mercuric,250,,5:39,5:54,40°35.89,67°54.85,40°36.01,67°56.48,79,50,,89.22034,8.047180176,2,99.01968257,2,88.88718287,2,33.5182,2,2104.5,NA,2253.1,NA,261.6622854
77,Bottom,RSA_077A,20210505,40°36.08',68°00.05',40°36.07',68°00.10',50,91.4,6:21,6:21,6:22,6:25,6:26,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,92.75003,8.107592773,2,102.3416733,2,92.20917358,2,33.4972,2,2100.9,NA,2254.1,NA,263.7739906
78,Bottom,RSA_078A,20210505,40°41.80',67°54.36',40°41.86',67°54.40',43.9,80.3,7:19,7:19,7:21,7:24,7:25,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,81.37396,7.595501709,2,91.12322617,2,80.99072647,2,33.2836,2,2095.6,NA,2242.4,NA,272.0535215
79,Bottom,RSA_079A,20210505,40°53.54',68°05.65',40°53.46',68°05.73',32,58.5,10:08,10:08,10:09,10:12,10:13,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,61.57066,8.131048584,2,71.03799057,2,60.90549088,2,32.9351,2,2057.2,NA,2230.5,-999,298.707806
