,Accession,EXPOCODE,Cruise_ID,Observation_type,Station_ID,Cast_number,Niskin_ID,Sample_ID,Date,Latitude,Longitude,Season,Pressure,Depth,Temperature,Salinity,Oxygen,Oxygen_flag,DIC,TALK,TALK_flag,pCO2_atm,ADT,SLA,SST,SST_hires,Chl,KD490
3824,,,AR18-B,,CNSM,5.0,1.0,,2017-06-08,40.13648333,-70.77496667,summer,130.0384448,129.0,12.0644,35.3904,201.585005,2.0,2157.5668,2336.065824,2,406.76,-0.12293497455716677,0.015012116414329785,14.113099875170198,14.517433644440347,0.3565982542849377,0.056218680481329185
3825,,,AR18-B,,CNSM,5.0,2.0,,2017-06-08,40.13648333,-70.77496667,summer,130.0384448,129.0,12.0653,35.3928,198.0183423,2.0,2160.688843,2338.165842,2,406.76,-0.12293497455716677,0.015012116414329785,14.113099875170198,14.517433644440347,0.3565982542849377,0.056218680481329185
3826,,,AR18-B,,CNSM,5.0,3.0,,2017-06-08,40.13648333,-70.77496667,summer,87.69134596,87.0,10.1633,34.4361,237.0789658,2.0,2124.322546,2297.102253,2,406.76,-0.12293497455716677,0.015012116414329785,14.113099875170198,14.517433644440347,0.3565982542849377,0.056218680481329185
3827,,,AR18-B,,CNSM,5.0,5.0,,2017-06-08,40.13648333,-70.77496667,summer,42.32909556,42.0,12.0388,34.4182,255.7017962,2.0,2088.016842,2301.779598,2,406.76,-0.12293497455716677,0.015012116414329785,14.113099875170198,14.517433644440347,0.3565982542849377,0.056218680481329185
3828,,,AR18-B,,CNSM,5.0,7.0,,2017-06-08,40.13648333,-70.77496667,summer,6.046481111,6.0,14.2326,33.5466,268.6589072,2.0,2029.220808,2260.567731,2,406.76,-0.12293497455716677,0.015012116414329785,14.113099875170198,14.517433644440347,0.3565982542849377,0.056218680481329185
3829,,,AR18-C,,ISSM,1.0,1.0,,2017-06-15,40.36333333,-70.88331667,summer,88.70134088,88.0,9.7806,34.2113,225.5299648,2.0,2130.315996,2287.917901,2,406.76,-0.10367970908254937,0.013960834199622262,14.318360680768027,14.213786334545036,0.7269933426015882,0.08022403359440912
3830,,,AR18-C,,ISSM,1.0,2.0,,2017-06-15,40.36333333,-70.88331667,summer,88.70134088,88.0,9.7788,34.2105,225.4430091,2.0,2147.221134,2295.557687,2,406.76,-0.10367970908254937,0.013960834199622262,14.318360680768027,14.213786334545036,0.7269933426015882,0.08022403359440912
3831,,,AR18-C,,ISSM,1.0,3.0,,2017-06-15,40.36333333,-70.88331667,summer,62.49015426,62.0,8.9542,33.486,258.3175637,2.0,2099.060044,2271.406744,2,406.76,-0.10367970908254937,0.013960834199622262,14.318360680768027,14.213786334545036,0.7269933426015882,0.08022403359440912
3832,,,AR18-C,,ISSM,1.0,5.0,,2017-06-15,40.36333333,-70.88331667,summer,17.1325113,17.0,9.3245,32.4733,308.9835693,2.0,2023.297363,2216.26089,2,406.76,-0.10367970908254937,0.013960834199622262,14.318360680768027,14.213786334545036,0.7269933426015882,0.08022403359440912
3833,,,AR18-C,,ISSM,1.0,7.0,,2017-06-15,40.36333333,-70.88331667,summer,6.550497788,6.5,13.2617,32.3755,289.7727911,2.0,1981.366257,2211.158757,2,406.76,-0.10367970908254937,0.013960834199622262,14.318360680768027,14.213786334545036,0.7269933426015882,0.08022403359440912
