Station,Cast,BottleID,Date,Latitude_degrees_start,Longitude_degrees_start,Latitude_degrees_end,Longitude_degrees_end,Depth_fathoms,Depth_meters,Time_CTD_on,Time_in,Time_bottom,Time_ascent,Time_out,Salinity_bottle,Preservation,Pres_vol_ug,Bottle_CTD_notes,Tow_start_time,Tow_end_time,Tow_latitude_start,Tow_longitude_start,Tow_latitude_end,Tow_longitude_end,Tow_abundance,Scallop_samples,Tow_notes,Depth_m_CTD,Temp,Temp_FLAG,Pressure,Press_FLAG,SeaPressure,SeaPress_FLAG,Salinity,Salinity_FLAG,DIC,DIC_FLAG,TA,TA_FLAG,Dissolved_oxygen
58,Surface,RSA_058B,20210504,40°47.05',67°12.16',40°47.40',67°12.05',51.4,94,NA,23:02,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.683195801,2,12.609268,2,2.476768303,2,33.3611,2,2053.8,2,2215.8,999,303.7041408
59,Surface,RSA_059B,20210504,40°42.04',67°17.56',40°42.04',67°17.52',52,95.1,NA,23:53,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,8.53503495,2,12.65780115,2,2.5253014560000002,2,32.521,2,2043.2,2,2211,999,320.0494756
60,Surface,RSA_060B,20210504,40°53.68',67°17.78',NA,NA,45.5,83.2,NA,20:09,NA,NA,NA,NA,Mercuric,100,,19:26,19:44,40°55.73,67°19.86,40°54.39,67°19.89,6475,50,Bags labelled 62,2.5,7.855057373,2,12.6666151,2,2.53411541,2,32.509,2,2062.5,2,2202,999,307.1349527
61,Surface,RSA_061B,20210504,41°05.89',67°17.58',41°05.91',67°17.65',33.1,60.5,NA,15:21,NA,NA,NA,NA,Mercuric,100,,15:30,15:45,41°05.91,67°17.92,41°05.80,67°19.95,0,0,All sand dollars,2.5,7.626770698,2,12.6815958,2,2.549096107,2,32.5481,2,2050.9,2,2209.8,999,308.10672
62,Surface,RSA_062B,20210504,41°00.10',67°23.92',40°59.78',67°23.32',38.2,69.9,NA,18:45,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.887987518,2,12.62080121,2,2.488301516,2,32.4023,2,2041.5,2,2202.1,999,314.675752
63,Surface,RSA_063B,20210504,40°47.82',67°24.31',40°47.78',67°24.25',48,87.8,NA,22:02,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,8.153674316,2,12.65154584,2,2.519046148,2,32.5587,2,2050,2,2212.9,NA,317.0228333
64,Surface,RSA_064B,20210505,40°42.08',67°29.87',40°42.06',67°29.87',47.9,87.6,NA,1:01,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.998186035,2,12.60178146,2,2.469281769,2,32.4574,2,2048.9,2,2211.8,NA,307.0271357
65,Surface,RSA_065B,20210504,40°53.06',67°30.01',40°53.08',67°30.02',41.6,76.1,NA,21:17,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.738996233,2,12.78654902,2,2.654049328,2,32.3333,2,2051.2,2,2206.5,NA,310.0028851
66,Surface,RSA_066B,20210504,41°00.07',67°30.12',41°00.08',67°30.11',35.9,65.7,NA,17:57,NA,NA,NA,NA,Mercuric,100,Light rain,18:04,18:19,41°00.09,67°29.67,41°00.09,67°28.30,59,50,"mainly sand dollars, bags labelled 61",2.5,7.551270549,2,12.65377871,2,2.521279017,2,32.4821,2,2059.3,2,2205.3,NA,307.0260212
67,Surface,RSA_067B,20210504,41°06.06',67°29.65',41°06.10',67°29.74',31,56.7,NA,16:34,NA,NA,NA,NA,Mercuric,100,Light rain,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.767816162,2,12.65927849,2,2.526778793,2,32.5853,2,2055.1,2,2210.9,NA,306.5085302
